pageid,name,city
8580192,Peter Sørensen Vig,"Luck, Wisconsin"
2772784,Jason Bere,"Wilmington, Massachusetts"
12259151,Ryland Blackinton,"Wilmington, Massachusetts"
17843802,Ed Doherty (baseball executive),"Wilmington, Massachusetts"
53344312,Harriet Thayer Durgin,"Wilmington, Massachusetts"
53344530,Lyle Durgin,"Wilmington, Massachusetts"
5090201,Henry Harnden,"Wilmington, Massachusetts"
2698547,David G. Hartwell,"Wilmington, Massachusetts"
10185274,Thomas Holmes (executive),"Wilmington, Massachusetts"
49335120,Ezra Otis Kendall,"Wilmington, Massachusetts"
762824,Sears Cook Walker,"Wilmington, Massachusetts"
31407083,Timothy Walker (judge),"Wilmington, Massachusetts"
3103632,Henry Beston,"Nobleboro, Maine"
5851900,Elizabeth Coatsworth,"Nobleboro, Maine"
51021126,Laura Fortman,"Nobleboro, Maine"
44283039,Linwood E. Palmer Jr.,"Nobleboro, Maine"
6898458,Val Picinich,"Nobleboro, Maine"
26926486,Bobby Barth,"Fountain, Colorado"
51546143,Morgan Fox (American football),"Fountain, Colorado"
8587569,Chase Headley,"Fountain, Colorado"
4075686,Peter La Farge,"Fountain, Colorado"
41586068,Lois Landgraf,"Fountain, Colorado"
20204310,Phil Loadholt,"Fountain, Colorado"
47060975,Jon Watts,"Fountain, Colorado"
47441171,Isaac Atwater,"Homer, New York"
43503792,Alexander O. Babcock,"Homer, New York"
17006000,Horatio Ballard,"Homer, New York"
36306518,George W. Bradford,"Homer, New York"
8142259,Francis Bicknell Carpenter,"Homer, New York"
30526767,Meriva M. Carpenter,"Homer, New York"
51091217,Patrick Conway,"Homer, New York"
21804081,Erastus Milo Cravath,"Homer, New York"
8298201,Milo Goodrich,"Homer, New York"
48820082,Adin P. Hobart,"Homer, New York"
49889583,William H. Hurlbut,"Homer, New York"
17343464,Albert Keep,"Homer, New York"
38687400,Asa Kinney,"Homer, New York"
55886721,Manly Miles,"Homer, New York"
30032269,Arthur C. Sidman,"Homer, New York"
45575220,Eugene A. Tucker,"Homer, New York"
25941547,Eleazer Wakeley,"Homer, New York"
25945754,Solmous Wakeley,"Homer, New York"
164375,Andrew Dickson White,"Homer, New York"
55479971,Orrin T. Williams,"Homer, New York"
52913573,Al Hirshberg,"Longboat Key, Florida"
5974619,George Albee,"Longboat Key, Florida"
23223702,Marilyn Bendell,"Longboat Key, Florida"
24335964,Lou Bender,"Longboat Key, Florida"
782833,Nick Bollettieri,"Longboat Key, Florida"
6870542,Vern Buchanan,"Longboat Key, Florida"
13239698,Larry Elgart,"Longboat Key, Florida"
3712017,Marcella Hazan,"Longboat Key, Florida"
14420398,Tom Helmore,"Longboat Key, Florida"
44854614,Nathan J. Kaplan,"Longboat Key, Florida"
47390713,Jesse W. Markham,"Longboat Key, Florida"
1297245,Charlie Maxwell,"Longboat Key, Florida"
1090216,Jacob Millman,"Longboat Key, Florida"
38272896,Ed Miracle,"Longboat Key, Florida"
27647734,Frank Mockler,"Longboat Key, Florida"
13258473,James Joseph Patterson,"Longboat Key, Florida"
52367768,Lucy Scarborough Conant,"Brooklyn, Connecticut"
3785431,David Low Dodge,"Brooklyn, Connecticut"
3729332,Robert Fiske Griggs,"Brooklyn, Connecticut"
13363980,Waldo Hutchins,"Brooklyn, Connecticut"
35000936,William Williams Mather,"Brooklyn, Connecticut"
21828627,Elijah Paine,"Brooklyn, Connecticut"
52904,Israel Putnam,"Brooklyn, Connecticut"
50029716,John Day Putnam,"Brooklyn, Connecticut"
1443794,Michael Bruce Ross,"Brooklyn, Connecticut"
34191221,Thomas Treadwell Stone,"Brooklyn, Connecticut"
9578387,Daniel Tyler,"Brooklyn, Connecticut"
49228927,William Woodbridge (Connecticut),"Brooklyn, Connecticut"
9334327,Daniel Aldrich,"Northwood, New Hampshire"
12759818,John Lauris Blake,"Northwood, New Hampshire"
2927654,Albert O. Brown,"Northwood, New Hampshire"
12736100,William Burleigh,"Northwood, New Hampshire"
19922197,E. Knowlton Fogg,"Northwood, New Hampshire"
4355989,Ella Knowles Haskell,"Northwood, New Hampshire"
51820309,Bruce Hodgdon,"Northwood, New Hampshire"
25981729,Wilma Briggs,"East Greenwich, Rhode Island"
33834706,Dean Budnick,"East Greenwich, Rhode Island"
426247,Donald Carcieri,"East Greenwich, Rhode Island"
2065686,Silas Casey,"East Greenwich, Rhode Island"
13842199,Richard L. Cevoli,"East Greenwich, Rhode Island"
31935822,Robert Flanders,"East Greenwich, Rhode Island"
31688762,Thomas Frye (Rhode Island),"East Greenwich, Rhode Island"
42045675,Antonio Giarrusso,"East Greenwich, Rhode Island"
19375059,Albert C. Greene,"East Greenwich, Rhode Island"
1303377,George Washington Greene,"East Greenwich, Rhode Island"
35835259,William Greene (governor),"East Greenwich, Rhode Island"
2707176,Steven King (ice hockey),"East Greenwich, Rhode Island"
45548170,J. Michael Lenihan,"East Greenwich, Rhode Island"
56968983,Xinsheng Ling,"East Greenwich, Rhode Island"
32928376,Peter Mawney,"East Greenwich, Rhode Island"
45369202,Larry Merlo,"East Greenwich, Rhode Island"
350387,Debra Messing,"East Greenwich, Rhode Island"
16860216,Roderick W. Moore,"East Greenwich, Rhode Island"
7944049,Gideon Olin,"East Greenwich, Rhode Island"
14593354,William P. Robinson III,"East Greenwich, Rhode Island"
34838982,Abel Spencer,"East Greenwich, Rhode Island"
3352142,Mark Thompson (reporter),"East Greenwich, Rhode Island"
9691613,Thomas Tillinghast,"East Greenwich, Rhode Island"
1939380,James Mitchell Varnum,"East Greenwich, Rhode Island"
6332669,Robert A. Watson,"East Greenwich, Rhode Island"
36294141,Clement Weaver,"East Greenwich, Rhode Island"
44828499,Constance Bannister,"Ashland City, Tennessee"
23900401,Tommy Collins (singer),"Ashland City, Tennessee"
40230332,Mark E. Green,"Ashland City, Tennessee"
47190062,Red Lane,"Ashland City, Tennessee"
10806723,Chonda Pierce,"Ashland City, Tennessee"
55407052,Caleb Plant,"Ashland City, Tennessee"
17717333,Redd Stewart,"Ashland City, Tennessee"
42119569,Brian Babin,"Woodville, Texas"
13364067,Samuel B. Cooper,"Woodville, Texas"
38764564,Kree Harrison,"Woodville, Texas"
45386798,Hugh Pitts,"Woodville, Texas"
15278865,John B. Reid,"Woodville, Texas"
7697199,Albert J. Adams,"Blackstone, Massachusetts"
13680868,Con Daily,"Blackstone, Massachusetts"
16264919,Eddie Eayrs,"Blackstone, Massachusetts"
11608612,Ambrose Kennedy,"Blackstone, Massachusetts"
34025515,Bob Stewart (umpire),"Blackstone, Massachusetts"
19323922,Eva March Tappan,"Blackstone, Massachusetts"
6889810,Webster Thayer,"Blackstone, Massachusetts"
1022115,Rufus Anderson,"North Yarmouth, Maine"
12278155,Peter Chardon Brooks,"North Yarmouth, Maine"
4336447,Francis Brown (1784–1820),"North Yarmouth, Maine"
10250548,Samuel Gilman Brown,"North Yarmouth, Maine"
50172671,Levi Cutter,"North Yarmouth, Maine"
36691176,Charles Drummond Lawrence,"North Yarmouth, Maine"
12604427,Edward Russell (Maine),"North Yarmouth, Maine"
7601579,Elizabeth Oakes Smith,"North Yarmouth, Maine"
25001120,Debra Spark,"North Yarmouth, Maine"
3951486,Ephraim Sturdivant,"North Yarmouth, Maine"
24069728,William Todd (businessman),"North Yarmouth, Maine"
43930937,Elkanah Walker,"North Yarmouth, Maine"
43741887,Erastus Newton Bates,"Plainfield, Massachusetts"
43149,Ralph Ellison,"Plainfield, Massachusetts"
21609699,Martha J. Lamb,"Plainfield, Massachusetts"
26229727,William Richards (Hawaii),"Plainfield, Massachusetts"
1806353,Charles Dudley Warner,"Plainfield, Massachusetts"
55284500,Catherine Beattie,"Danville, Vermont"
47291134,Jere A. Blount,"Danville, Vermont"
1351895,Beth Chamberlin,"Danville, Vermont"
41558034,Augustine Clarke,"Danville, Vermont"
11542224,Benjamin F. Deming,"Danville, Vermont"
5317166,Jane Kitchel,"Danville, Vermont"
24892032,Jesse Henry Leavenworth,"Danville, Vermont"
57038473,Charles Mattocks,"Danville, Vermont"
46417459,Cyrus Miner,"Danville, Vermont"
44510892,Harvey T. Moore,"Danville, Vermont"
3261812,William A. Palmer,"Danville, Vermont"
6191838,Stephen Alonzo Schoff,"Danville, Vermont"
365602,Thaddeus Stevens,"Danville, Vermont"
55284954,Catherine Toll,"Danville, Vermont"
38472567,David Agry,"Pittston, Maine"
3925416,Reuben Colburn,"Pittston, Maine"
11526606,Barzillai Gannett,"Pittston, Maine"
23684889,Albert G. Jewett,"Pittston, Maine"
4933184,Daniel T. Jewett,"Pittston, Maine"
30744332,Charles Melville Scammon,"Pittston, Maine"
5607181,Isaac D. Seyburn,"Pittston, Maine"
48804112,Charlotte Warren,"Pittston, Maine"
8930109,Willie Best,"Sunflower, Mississippi"
515801,Jerry Butler,"Sunflower, Mississippi"
1350511,Craig Claiborne,"Sunflower, Mississippi"
1545669,Shirley Coleman,"Sunflower, Mississippi"
3477575,Larry Herndon,"Sunflower, Mississippi"
2127093,"Matt ""Guitar"" Murphy","Sunflower, Mississippi"
23985098,Big John Wrencher,"Sunflower, Mississippi"
412174,Chris Chocola,"Milford, Indiana"
6965651,Arthur F. Griffith,"Milford, Indiana"
14690593,Harry J. Michael,"Milford, Indiana"
39648462,Andrew Bachhuber,"LeRoy, Wisconsin"
39648308,Max Bachhuber,"LeRoy, Wisconsin"
55458419,Frank S. Bauer,"LeRoy, Wisconsin"
46712127,John M. Dihring,"LeRoy, Wisconsin"
41940395,William S. Schwefel,"LeRoy, Wisconsin"
44138862,Joseph Weix,"LeRoy, Wisconsin"
20603842,Realf Ottesen Brandt,"Clinton, Rock County, Wisconsin"
47710009,Robert T. Carey,"Clinton, Rock County, Wisconsin"
48934894,Dustin Grow Cheever,"Clinton, Rock County, Wisconsin"
21556903,Claus Lauritz Clausen,"Clinton, Rock County, Wisconsin"
47385662,John Conley (Wisconsin),"Clinton, Rock County, Wisconsin"
41913402,Delmar DeLong,"Clinton, Rock County, Wisconsin"
11402286,Adele Garrison,"Clinton, Rock County, Wisconsin"
51246909,John Harris (Wisconsin),"Clinton, Rock County, Wisconsin"
2781553,Louis P. Harvey,"Clinton, Rock County, Wisconsin"
49889583,William H. Hurlbut,"Clinton, Rock County, Wisconsin"
57206739,Samuel S. Jones (Wisconsin politician),"Clinton, Rock County, Wisconsin"
53872210,Lavina Keough,"Clinton, Rock County, Wisconsin"
30956569,Amy Loudenbeck,"Clinton, Rock County, Wisconsin"
22483153,Ole Knudsen Nattestad,"Clinton, Rock County, Wisconsin"
28172449,Nig Perrine,"Clinton, Rock County, Wisconsin"
19749798,Joe Shear,"Clinton, Rock County, Wisconsin"
31144801,Peter Shorts,"Clinton, Rock County, Wisconsin"
50414271,Cornelius Mortimer Treat,"Clinton, Rock County, Wisconsin"
44426285,Andrew J. Yorty,"Clinton, Rock County, Wisconsin"
36639296,David H. Abell,"Mount Morris, New York"
31988930,Edward J. Barcalo,"Mount Morris, New York"
588762,Ross Barnes,"Mount Morris, New York"
84950,Francis Bellamy,"Mount Morris, New York"
37083348,Sarah Hopkins Bradford,"Mount Morris, New York"
11591461,Graham H. Chapin,"Mount Morris, New York"
22154394,Gus Ganakas,"Mount Morris, New York"
42253343,George B. Goodwin,"Mount Morris, New York"
11591298,George Hastings (American politician),"Mount Morris, New York"
39207030,George Wheeler Hinman,"Mount Morris, New York"
52998509,Marie Boening Kendall,"Mount Morris, New York"
2197571,John LaBarbera,"Mount Morris, New York"
30882529,William Thomas Larkin,"Mount Morris, New York"
2016419,James M. Mead,"Mount Morris, New York"
24262483,William Augustus Mills,"Mount Morris, New York"
24172969,Charles Gilbert Peterson,"Mount Morris, New York"
24195167,Gilbert Peterson,"Mount Morris, New York"
215918,John Wesley Powell,"Mount Morris, New York"
30118434,Jessie Belle Rittenhouse,"Mount Morris, New York"
19093128,Annie Rockfellow,"Mount Morris, New York"
12480988,Joseph Strauss (admiral),"Mount Morris, New York"
32297109,Silas Bent (judge),"Rutland, Massachusetts"
39264216,Edgar C. Erickson,"Rutland, Massachusetts"
7919704,Caleb Sprague Henry,"Rutland, Massachusetts"
34076755,George Mangus,"Rutland, Massachusetts"
15906669,Dexter Mussey,"Rutland, Massachusetts"
33956625,Joseph A. Smith,"Rutland, Massachusetts"
3874097,Eli P. Ashmun,"Blandford, Massachusetts"
9455233,George Ashmun,"Blandford, Massachusetts"
45808451,James Robinson Boise,"Blandford, Massachusetts"
8940613,Reuben P. Boise,"Blandford, Massachusetts"
49920349,Daniel Butler (minister),"Blandford, Massachusetts"
44480965,Cushing Eells,"Blandford, Massachusetts"
25863736,Frederick Winslow Hatch,"Blandford, Massachusetts"
11948479,Samuel Knox,"Blandford, Massachusetts"
22789153,Fordyce L. Laflin,"Blandford, Massachusetts"
30180189,Winifred E. Lefferts,"Blandford, Massachusetts"
2346300,John Pedersen (arms designer),"Blandford, Massachusetts"
30240799,Rufus P. Ranney,"Blandford, Massachusetts"
36465097,Charles A. Taggart,"Blandford, Massachusetts"
21432823,George T. Flom,"Christiana, Dane County, Wisconsin"
41802457,James C. Hanson,"Christiana, Dane County, Wisconsin"
8835446,Truman O. Olson,"Christiana, Dane County, Wisconsin"
46854119,Otto Onstad,"Christiana, Dane County, Wisconsin"
46250849,Herman J. Severson,"Christiana, Dane County, Wisconsin"
21196511,John Bowman (politician),"Clarkson, New York"
16780202,Harry P. Deuel,"Clarkson, New York"
14723628,Herbie Moran,"Clarkson, New York"
52604357,William Amasa Scott,"Clarkson, New York"
357845,George B. Selden,"Clarkson, New York"
6753919,Henry R. Selden,"Clarkson, New York"
591575,Lewis A. Swift,"Clarkson, New York"
1903546,Paul Annacone,"East Hampton (town), New York"
14289313,Ronald S. Baron,"East Hampton (town), New York"
22660300,Bouvier Beale,"East Hampton (town), New York"
1443975,Edith Bouvier Beale,"East Hampton (town), New York"
8882176,Edith Ewing Bouvier Beale,"East Hampton (town), New York"
22482998,Phelan Beale Jr.,"East Hampton (town), New York"
358812,Catharine Beecher,"East Hampton (town), New York"
8711604,Edward Beecher,"East Hampton (town), New York"
37326846,Ward Bennett,"East Hampton (town), New York"
6200449,Arthur W. Benson,"East Hampton (town), New York"
2085637,John Vernou Bouvier III,"East Hampton (town), New York"
14457387,Paul Brach,"East Hampton (town), New York"
551755,Ed Bradley,"East Hampton (town), New York"
21299901,James Brady (columnist),"East Hampton (town), New York"
21256608,John Brooks (writer),"East Hampton (town), New York"
4537813,Charnele Brown,"East Hampton (town), New York"
890651,Tina Brown,"East Hampton (town), New York"
13537355,David Carmichael,"East Hampton (town), New York"
3633832,Nick Catalano,"East Hampton (town), New York"
9031177,Dan Christensen,"East Hampton (town), New York"
1350511,Craig Claiborne,"East Hampton (town), New York"
15679359,Blair Clark,"East Hampton (town), New York"
34189349,Jonathan S. Conklin,"East Hampton (town), New York"
4603364,Austin Corbin,"East Hampton (town), New York"
4772475,Henry Davis (cleric),"East Hampton (town), New York"
459853,Willem de Kooning,"East Hampton (town), New York"
5049103,Howard Dean,"East Hampton (town), New York"
2352154,Donny Deutsch,"East Hampton (town), New York"
41584379,Gaines Ruger Donoho,"East Hampton (town), New York"
42418349,Perry B. Duryea (state senator),"East Hampton (town), New York"
36947086,Lewis A. Edwards,"East Hampton (town), New York"
5885027,Maginel Wright Enright,"East Hampton (town), New York"
12098786,Tim Ferriss,"East Hampton (town), New York"
2146089,Frederick J. Finch,"East Hampton (town), New York"
18103512,Bruno Fonseca,"East Hampton (town), New York"
18233948,Joseph S. Frelinghuysen Jr.,"East Hampton (town), New York"
191870,William Gaddis,"East Hampton (town), New York"
8728487,David Gardiner (politician),"East Hampton (town), New York"
4593043,Lion Gardiner,"East Hampton (town), New York"
3965988,Jeffrey Garten,"East Hampton (town), New York"
23192349,Greg Grossman,"East Hampton (town), New York"
15293709,Vincent Gruppuso,"East Hampton (town), New York"
2401448,Tracy Harris,"East Hampton (town), New York"
278369,Albert Herter,"East Hampton (town), New York"
1138964,Ian Hornak,"East Hampton (town), New York"
29558026,Lucas Hunt,"East Hampton (town), New York"
11590181,Abel Huntington,"East Hampton (town), New York"
1938173,David Ignatow,"East Hampton (town), New York"
2144869,Helen Jacobs,"East Hampton (town), New York"
26381314,Norman Jaffe,"East Hampton (town), New York"
7553482,Edna F. Kelly,"East Hampton (town), New York"
10821890,Hilary Knight (illustrator),"East Hampton (town), New York"
584664,Lee Krasner,"East Hampton (town), New York"
26416,Ring Lardner,"East Hampton (town), New York"
23590988,Stephen A. Lesser,"East Hampton (town), New York"
45588708,Janice H. Levin,"East Hampton (town), New York"
443485,A. J. Liebling,"East Hampton (town), New York"
6513728,Marijane Meaker,"East Hampton (town), New York"
9031506,Felicia Montealegre,"East Hampton (town), New York"
400646,Thomas Moran,"East Hampton (town), New York"
15444547,Francis Mugavero,"East Hampton (town), New York"
64372,Jacqueline Kennedy Onassis,"East Hampton (town), New York"
14568537,Alfonso A. Ossorio,"East Hampton (town), New York"
9933531,Simon Perchik,"East Hampton (town), New York"
11592453,Job Pierson,"East Hampton (town), New York"
31050310,Samuel Reber,"East Hampton (town), New York"
59533,Lou Reed,"East Hampton (town), New York"
23420380,Arnold T. Rosenberg,"East Hampton (town), New York"
2762101,Steve Ross (businessman),"East Hampton (town), New York"
8026223,Ebenezer Sage,"East Hampton (town), New York"
31498857,John B. Scott,"East Hampton (town), New York"
2332995,Cindy Sherman,"East Hampton (town), New York"
26940,Steven Spielberg,"East Hampton (town), New York"
960440,Jean Stafford,"East Hampton (town), New York"
3574085,Chris Stamp,"East Hampton (town), New York"
8663570,Ted Thurston,"East Hampton (town), New York"
2985544,David Gardiner Tyler,"East Hampton (town), New York"
416356,Julia Gardiner Tyler,"East Hampton (town), New York"
7651497,Stuyvesant Wainwright,"East Hampton (town), New York"
20590602,Frank Bestow Wiborg,"East Hampton (town), New York"
20590101,Mary Hoyt Wiborg,"East Hampton (town), New York"
43963803,Lois Wright,"East Hampton (town), New York"
4594860,Wyandanch (sachem),"East Hampton (town), New York"
48730768,Ellsworth Burnett,"Madrid, New York"
57673782,Matt Curley,"Madrid, New York"
15731586,George Z. Erwin,"Madrid, New York"
36625534,Charles C. Montgomery,"Madrid, New York"
36948091,James F. Pierce,"Madrid, New York"
48823888,Oliver S. Powell,"Madrid, New York"
18949113,Cyrus Walbridge,"Madrid, New York"
332232,Charles A. Beard,"Knightstown, Indiana"
54603167,George P. Elliott,"Knightstown, Indiana"
1865915,Clifford M. Hardin,"Knightstown, Indiana"
18232241,Forrest Lewis,"Knightstown, Indiana"
18257195,Parke Swartzel,"Knightstown, Indiana"
8605545,William Zion,"Knightstown, Indiana"
48192274,W. R. Chipman,"Leeds, Wisconsin"
57942912,Julian F. Everett,"Leeds, Wisconsin"
46776396,Edward C. Meland,"Leeds, Wisconsin"
3063477,Oscar Rennebohm,"Leeds, Wisconsin"
39746135,Herbert C. Schenk,"Leeds, Wisconsin"
34010916,George Wylie (politician),"Leeds, Wisconsin"
10971293,Ace Cannon,"Calhoun City, Mississippi"
12623915,Billy Cowan,"Calhoun City, Mississippi"
42676015,G. J. Higginbotham,"Calhoun City, Mississippi"
59303510,Vester Newcomb,"Calhoun City, Mississippi"
905783,Dave Parker,"Calhoun City, Mississippi"
